date,stock_id,name,changed,split_auction,managed,match_cycle_min,halted,fin_watch
2025-09-30,3191,雲嘉南,1,0,0,,0,1
2025-09-30,3629,地心引力,1,1,0,030,0,1
2025-09-30,3632,研勤,1,0,0,,0,1
2025-09-30,4304,勝昱,1,1,0,030,0,1
2025-09-30,4529,淳紳,1,1,0,030,0,1
2025-09-30,4530,宏易,1,0,0,,0,1
2025-09-30,4609,唐鋒,1,1,0,030,0,1
2025-09-30,4804,大略-KY,1,1,0,030,0,1
2025-09-30,4806,桂田文創,0,0,0,,1,1
2025-09-30,4950,金耘國際,1,0,0,,0,1
2025-09-30,5301,寶得利,1,0,0,,0,1
2025-09-30,5481,新華,1,0,0,,0,1
2025-09-30,5701,劍湖山,1,0,0,,0,1
2025-09-30,6103,合邦,1,0,0,,0,1
2025-09-30,6236,中湛,1,0,0,,0,1
2025-09-30,8291,尚茂,0,0,0,,1,1
