date,stock_id,name,changed,split_auction,managed,match_cycle_min,halted,fin_watch
2017-07-04,1333,恩得利,1,0,0,,0,0
2017-07-04,2724,富驛-KY,1,1,0,030,0,1
2017-07-04,3064,泰偉,1,0,0,,0,1
2017-07-04,3086,華義,1,0,0,,0,1
2017-07-04,3089,遠昇,1,1,0,030,0,0
2017-07-04,3095,及成,1,1,0,030,0,1
2017-07-04,3219,倚強,0,0,0,,1,1
2017-07-04,3288,點晶,1,1,0,030,0,1
2017-07-04,3339,泰谷,1,0,0,,0,1
2017-07-04,3465,祥業,1,0,0,,0,1
2017-07-04,3523,迎輝,1,1,0,030,0,1
2017-07-04,3662,樂陞,0,0,0,,1,0
2017-07-04,4131,晶宇,1,0,0,,0,1
2017-07-04,4413,飛寶企業,1,0,0,,0,1
2017-07-04,4415,台原藥,0,0,0,,1,0
2017-07-04,4419,元勝,1,1,0,030,0,1
2017-07-04,5205,漢康,1,1,0,030,0,1
2017-07-04,5304,鼎創達,1,1,0,030,0,0
2017-07-04,5314,世紀,1,0,0,,0,1
2017-07-04,5348,系通,1,1,0,030,0,1
2017-07-04,5381,合正,1,1,0,030,0,1
2017-07-04,5455,訊利電,1,1,0,030,0,1
2017-07-04,5468,凱鈺,1,0,0,,0,1
2017-07-04,6103,合邦,1,1,0,030,0,1
2017-07-04,6198,凌泰,1,0,0,,0,1
2017-07-04,6222,上揚,1,1,0,030,0,1
2017-07-04,6259,百徽,1,1,0,030,0,1
2017-07-04,6287,元隆,1,1,0,030,0,0
2017-07-04,6291,沛亨,1,1,0,030,0,1
2017-07-04,8291,尚茂,1,0,0,,0,1
2017-07-04,911613,特藝-DR,0,0,0,,1,0
