date,stock_id,name,changed,split_auction,managed,match_cycle_min,halted,fin_watch
2023-09-14,1799,易威,1,0,0,,0,1
2023-09-14,2724,富驛-KY,1,0,0,,0,1
2023-09-14,3064,泰偉,1,1,0,030,0,1
2023-09-14,3085,新零售,1,0,0,,0,1
2023-09-14,3089,億杰,0,0,0,,1,0
2023-09-14,3095,及成,1,1,0,030,0,1
2023-09-14,3115,富榮綱,1,0,0,,0,1
2023-09-14,3191,和進,1,0,0,,0,1
2023-09-14,3629,地心引力,1,0,0,,0,1
2023-09-14,3632,研勤,1,0,0,,0,1
2023-09-14,4192,杏國,1,0,0,,0,1
2023-09-14,4419,元勝,1,1,0,030,0,1
2023-09-14,4530,宏易,1,0,0,,0,1
2023-09-14,4609,唐鋒,1,0,0,,0,1
2023-09-14,4712,南璋,1,1,0,030,0,0
2023-09-14,4804,大略-KY,1,0,0,,0,1
2023-09-14,4806,昇華,0,0,0,,1,1
2023-09-14,4950,牧東,1,0,0,,0,1
2023-09-14,5345,天揚,0,0,0,,1,1
2023-09-14,5529,鉅陞,0,0,0,,1,1
2023-09-14,5701,劍湖山,1,0,0,,0,1
2023-09-14,6103,合邦,1,0,0,,0,1
2023-09-14,6236,康呈,1,0,0,010,0,1
2023-09-14,6287,元隆,1,0,0,,0,0
2023-09-14,6404,通訊-KY,1,0,0,,0,0
2023-09-14,8080,永利聯合,1,0,0,,0,1
2023-09-14,8291,尚茂,1,1,0,030,0,1
