date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2026-09-03,6673,和詮,emerging,,16.5,15.05,15.75,379441,5976196,-0.03,,,,均價/額推算,
2026-09-04,6673,和詮,emerging,,16.2,15.05,15.39,95199,1465113,-0.36,,,,均價/額推算,
2026-09-07,6673,和詮,emerging,,16.1,15.05,15.49,138030,2138085,0.10,,,,均價/額推算,
2026-09-08,6673,和詮,emerging,,15.9,14.85,15.5,267176,4141228,0.01,,,,均價/額推算,
2026-09-09,6673,和詮,emerging,,21,15.7,17.78,1331960,23682249,2.28,,,,均價/額推算,
2026-09-10,6673,和詮,emerging,,18.6,16.45,17.21,576136,9915301,-0.57,,,,均價/額推算,17.65
2026-09-11,6673,和詮,emerging,,17.25,16.25,16.49,169948,2802443,-0.72,,,,均價/額推算,16.5
