date,stock_id,name,split_auction
2015-04-20,1456,怡華,0
2015-04-20,1516,川飛,0
2015-04-20,1529,樂士,1
2015-04-20,2028,威致,0
2015-04-20,2321,東訊,1
2015-04-20,2348,海悅,0
2015-04-20,2361,鴻友,1
2015-04-20,2364,倫飛,0
2015-04-20,2388,威盛,0
2015-04-20,2429,銘旺科,0
2015-04-20,2475,華映,1
2015-04-20,2496,卓越,1
2015-04-20,3043,科風,1
2015-04-20,3051,力特,0
2015-04-20,3536,誠創,0
2015-04-20,3701,大眾控,0
2015-04-20,6172,互億,0
2015-04-20,6225,天瀚,1
2015-04-20,6289,華上,1
2015-04-20,9106,新焦點,0
2015-04-20,911868,同方友,0
2015-04-20,913889,大成糖,0
2015-04-20,9929,秋雨,0
