date,stock_id,name,split_auction
2018-03-01,1418,東華,1
2018-03-01,1512,瑞利,0
2018-03-01,1529,樂士,1
2018-03-01,2025,千興,0
2018-03-01,2028,威致,0
2018-03-01,2321,東訊,1
2018-03-01,2342,茂矽,0
2018-03-01,2364,倫飛,1
2018-03-01,2475,華映,1
2018-03-01,3043,科風,1
2018-03-01,3046,建碁,0
2018-03-01,3383,新世紀,0
2018-03-01,3701,大眾控,0
2018-03-01,5259,清惠,1
2018-03-01,6172,互億,0
2018-03-01,6225,天瀚,1
2018-03-01,6289,華上,1
2018-03-01,910482,聖馬丁-DR,0
2018-03-01,911619,耀傑-DR,0
2018-03-01,911868,同方友友-DR,0
2018-03-01,9157,陽光能源-DR,0
2018-03-01,9928,中視,0
