date,stock_id,name,split_auction
2015-01-28,1449,佳和,0
2015-01-28,1456,怡華,0
2015-01-28,1516,川飛,0
2015-01-28,1529,樂士,1
2015-01-28,2321,東訊,1
2015-01-28,2348,海悅,0
2015-01-28,2361,鴻友,1
2015-01-28,2364,倫飛,0
2015-01-28,2388,威盛,0
2015-01-28,2429,銘旺科,0
2015-01-28,2438,翔耀,0
2015-01-28,2475,華映,1
2015-01-28,2496,卓越,1
2015-01-28,3043,科風,1
2015-01-28,3051,力特,0
2015-01-28,3701,大眾控,0
2015-01-28,6172,互億,0
2015-01-28,6225,天瀚,1
2015-01-28,6289,華上,0
2015-01-28,9106,新焦點,0
2015-01-28,911868,真明麗,0
2015-01-28,9929,秋雨,0
