date,stock_id,name,split_auction
2020-08-21,1213,大飲,0
2020-08-21,1418,東華,0
2020-08-21,1471,首利,0
2020-08-21,1475,本盟,0
2020-08-21,1512,瑞利,1
2020-08-21,1538,正峰新,0
2020-08-21,2025,千興,1
2020-08-21,2321,東訊,1
2020-08-21,2364,倫飛,1
2020-08-21,2371,大同,0
2020-08-21,2434,統懋,1
2020-08-21,3043,科風,1
2020-08-21,3051,力特,0
2020-08-21,3383,新世紀,0
2020-08-21,3536,誠創,1
2020-08-21,4725,信昌化,0
2020-08-21,6131,鈞泰,1
2020-08-21,6225,天瀚,1
2020-08-21,6289,華上,1
2020-08-21,8101,華冠,0
2020-08-21,9928,中視,1
2020-08-21,9946,三發地產,0
