date,stock_id,name,split_auction
2019-04-26,1418,東華,0
2019-04-26,1475,本盟,0
2019-04-26,1512,瑞利,0
2019-04-26,1529,樂士,0
2019-04-26,2025,千興,1
2019-04-26,2321,東訊,1
2019-04-26,2364,倫飛,1
2019-04-26,2475,華映,1
2019-04-26,3043,科風,1
2019-04-26,3051,力特,0
2019-04-26,3383,新世紀,1
2019-04-26,3519,綠能,1
2019-04-26,3579,尚志,1
2019-04-26,3686,達能,0
2019-04-26,4960,誠美材,0
2019-04-26,6131,悠克,1
2019-04-26,6225,天瀚,1
2019-04-26,6289,華上,1
2019-04-26,910482,聖馬丁-DR,0
2019-04-26,910708,恒大健-DR,0
2019-04-26,910861,神州-DR,0
2019-04-26,911619,耀傑-DR,0
2019-04-26,9157,陽光能源-DR,0
2019-04-26,9928,中視,0
