date,stock_id,name,split_auction
2020-12-16,1213,大飲,0
2020-12-16,1418,東華,0
2020-12-16,1471,首利,0
2020-12-16,1472,三洋紡,0
2020-12-16,1475,業旺,0
2020-12-16,1512,瑞利,1
2020-12-16,1538,正峰,0
2020-12-16,2025,千興,1
2020-12-16,2321,東訊,1
2020-12-16,2364,倫飛,1
2020-12-16,2434,統懋,0
2020-12-16,2443,億麗,0
2020-12-16,2939,凱羿-KY,0
2020-12-16,3043,科風,1
2020-12-16,3051,力特,0
2020-12-16,3229,晟鈦,0
2020-12-16,3383,新世紀,0
2020-12-16,3536,誠創,1
2020-12-16,6225,天瀚,1
2020-12-16,6289,華上,1
2020-12-16,8101,華冠,0
2020-12-16,9928,中視,1
