date,stock_id,name,split_auction
2016-07-25,1418,東華,0
2016-07-25,1529,樂士,1
2016-07-25,2014,中鴻,0
2016-07-25,2028,威致,1
2016-07-25,2321,東訊,1
2016-07-25,2337,旺宏,0
2016-07-25,2342,茂矽,1
2016-07-25,2364,倫飛,1
2016-07-25,2475,華映,1
2016-07-25,2496,卓越,1
2016-07-25,3043,科風,1
2016-07-25,5259,清惠,1
2016-07-25,5906,台南-KY,1
2016-07-25,6172,互億,0
2016-07-25,6225,天瀚,1
2016-07-25,6289,華上,1
2016-07-25,910482,聖馬丁-DR,0
2016-07-25,9106,新焦點-DR,0
2016-07-25,911611,中泰山-DR,0
2016-07-25,911868,同方友友-DR,0
2016-07-25,9928,中視,0
