date,stock_id,name,split_auction
2019-04-23,1418,東華,0
2019-04-23,1475,本盟,0
2019-04-23,1512,瑞利,0
2019-04-23,1529,樂士,0
2019-04-23,2025,千興,1
2019-04-23,2321,東訊,1
2019-04-23,2364,倫飛,1
2019-04-23,2475,華映,1
2019-04-23,3043,科風,1
2019-04-23,3051,力特,0
2019-04-23,3383,新世紀,1
2019-04-23,3519,綠能,1
2019-04-23,3579,尚志,1
2019-04-23,3686,達能,0
2019-04-23,4960,誠美材,0
2019-04-23,6131,悠克,1
2019-04-23,6225,天瀚,1
2019-04-23,6289,華上,1
2019-04-23,910482,聖馬丁-DR,0
2019-04-23,910708,恒大健-DR,0
2019-04-23,910861,神州-DR,0
2019-04-23,911619,耀傑-DR,0
2019-04-23,9157,陽光能源-DR,0
2019-04-23,9928,中視,0
