symbol,year,month,rows,why
NEAR,2021,5,0,nodata
NEAR,2021,6,0,nodata
NEAR,2021,7,0,nodata
NEAR,2021,8,0,nodata
NEAR,2021,9,0,nodata
NEAR,2022,1,0,nodata
NEAR,2022,10,0,nodata
NEAR,2022,11,0,nodata
NEAR,2022,12,0,nodata
NEAR,2022,2,0,nodata
NEAR,2022,3,0,nodata
NEAR,2022,4,0,nodata
NEAR,2022,5,0,nodata
NEAR,2022,6,0,nodata
NEAR,2022,7,0,nodata
NEAR,2022,8,0,nodata
NEAR,2022,9,0,nodata
NEAR,2023,1,0,nodata
NEAR,2023,10,0,nodata
NEAR,2023,11,0,nodata
NEAR,2023,12,0,nodata
NEAR,2023,2,0,nodata
NEAR,2023,3,0,nodata
NEAR,2023,4,0,nodata
NEAR,2023,5,0,nodata
NEAR,2023,6,0,nodata
NEAR,2023,7,0,nodata
NEAR,2023,8,0,nodata
NEAR,2023,9,0,nodata
NEAR,2024,1,0,nodata
NEAR,2024,10,0,nodata
NEAR,2024,11,0,nodata
NEAR,2024,12,0,nodata
NEAR,2024,2,0,nodata
NEAR,2024,3,0,nodata
NEAR,2024,4,0,nodata
NEAR,2024,5,0,nodata
NEAR,2024,6,0,nodata
NEAR,2024,7,0,nodata
NEAR,2024,8,0,nodata
NEAR,2024,9,0,nodata
NEAR,2025,1,0,nodata
NEAR,2025,10,0,nodata
NEAR,2025,11,0,nodata
NEAR,2025,12,0,nodata
NEAR,2025,2,0,nodata
NEAR,2025,3,0,nodata
NEAR,2025,4,0,nodata
NEAR,2025,5,0,nodata
NEAR,2025,6,0,nodata
NEAR,2025,7,0,nodata
NEAR,2025,8,0,nodata
NEAR,2025,9,0,nodata
NEAR,2026,1,0,nodata
NEAR,2026,2,0,nodata
NEAR,2026,3,0,nodata
NEAR,2026,4,0,nodata
NEAR,2026,5,0,nodata
NEAR,2026,6,0,nodata
NEAR,2026,7,0,nodata
NEAR,2026,8,0,nodata
SOL,2017,10,0,nodata
SOL,2017,11,0,nodata
SOL,2017,12,0,nodata
SOL,2017,8,0,nodata
SOL,2017,9,0,nodata
SOL,2018,1,0,nodata
SOL,2018,10,0,nodata
SOL,2018,11,0,nodata
SOL,2018,12,0,nodata
SOL,2018,2,0,nodata
SOL,2018,3,0,nodata
SOL,2018,4,0,nodata
SOL,2018,5,0,nodata
SOL,2018,6,0,nodata
SOL,2018,7,0,nodata
SOL,2018,8,0,nodata
SOL,2018,9,0,nodata
SOL,2019,1,0,nodata
SOL,2019,10,0,nodata
SOL,2019,11,0,nodata
SOL,2019,12,0,nodata
SOL,2019,2,0,nodata
SOL,2019,3,0,nodata
SOL,2019,4,0,nodata
SOL,2019,5,0,nodata
SOL,2019,6,0,nodata
SOL,2019,7,0,nodata
SOL,2019,8,0,nodata
SOL,2019,9,0,nodata
SOL,2020,1,0,nodata
SOL,2020,10,0,nodata
SOL,2020,11,0,nodata
SOL,2020,12,0,nodata
SOL,2020,2,0,nodata
SOL,2020,3,0,nodata
SOL,2020,4,0,nodata
SOL,2020,5,0,nodata
SOL,2020,6,0,nodata
SOL,2020,7,0,nodata
SOL,2020,8,0,nodata
SOL,2020,9,0,nodata
SOL,2021,1,0,nodata
SOL,2021,10,0,nodata
SOL,2021,11,0,nodata
SOL,2021,12,0,nodata
SOL,2021,2,0,nodata
SOL,2021,3,0,nodata
SOL,2021,4,0,nodata
SOL,2021,5,0,nodata
SOL,2021,6,0,nodata
SOL,2021,7,0,nodata
SOL,2021,8,0,nodata
SOL,2021,9,0,nodata
SOL,2022,1,0,nodata
SOL,2022,10,0,nodata
SOL,2022,11,0,nodata
SOL,2022,12,0,nodata
SOL,2022,2,0,nodata
SOL,2022,3,0,nodata
SOL,2022,4,0,nodata
SOL,2022,5,0,nodata
SOL,2022,6,0,nodata
SOL,2022,7,0,nodata
SOL,2022,8,0,nodata
SOL,2022,9,0,nodata
SOL,2023,1,0,nodata
SOL,2023,10,0,nodata
SOL,2023,11,0,nodata
SOL,2023,12,0,nodata
SOL,2023,2,0,nodata
SOL,2023,3,0,nodata
SOL,2023,4,0,nodata
SOL,2023,5,0,nodata
SOL,2023,6,0,nodata
SOL,2023,7,0,nodata
SOL,2023,8,0,nodata
SOL,2023,9,0,nodata
SOL,2024,1,0,nodata
SOL,2024,10,0,nodata
SOL,2024,11,0,nodata
SOL,2024,12,0,nodata
SOL,2024,2,0,nodata
SOL,2024,3,0,nodata
SOL,2024,4,0,nodata
SOL,2024,5,0,nodata
SOL,2024,6,0,nodata
SOL,2024,7,0,nodata
SOL,2024,8,0,nodata
SOL,2024,9,0,nodata
SOL,2025,1,0,nodata
SOL,2025,10,0,nodata
SOL,2025,11,0,nodata
SOL,2025,12,0,nodata
SOL,2025,2,0,nodata
SOL,2025,3,0,nodata
SOL,2025,4,0,nodata
SOL,2025,5,0,nodata
SOL,2025,6,0,nodata
SOL,2025,7,0,nodata
SOL,2025,8,0,nodata
SOL,2025,9,0,nodata
SOL,2026,1,0,nodata
SOL,2026,2,0,nodata
SOL,2026,3,0,nodata
SOL,2026,4,0,nodata
SOL,2026,5,0,nodata
SOL,2026,6,0,nodata
SOL,2026,7,0,nodata
SOL,2026,8,0,nodata
TRX,2017,10,0,nodata
TRX,2017,11,0,nodata
TRX,2017,12,0,nodata
TRX,2017,8,0,nodata
TRX,2017,9,0,nodata
TRX,2018,1,0,nodata
TRX,2018,10,0,nodata
TRX,2018,11,0,nodata
TRX,2018,12,0,nodata
TRX,2018,2,0,nodata
TRX,2018,3,0,nodata
TRX,2018,4,0,nodata
TRX,2018,5,0,nodata
TRX,2018,6,0,nodata
TRX,2018,7,0,nodata
TRX,2018,8,0,nodata
TRX,2018,9,0,nodata
TRX,2019,1,0,nodata
TRX,2019,10,0,nodata
TRX,2019,11,0,nodata
TRX,2019,12,0,nodata
TRX,2019,2,0,nodata
TRX,2019,3,0,nodata
TRX,2019,4,0,nodata
TRX,2019,5,0,nodata
TRX,2019,6,0,nodata
TRX,2019,7,0,nodata
TRX,2019,8,0,nodata
TRX,2019,9,0,nodata
TRX,2020,1,0,nodata
TRX,2020,10,0,nodata
TRX,2020,11,0,nodata
TRX,2020,12,0,nodata
TRX,2020,2,0,nodata
TRX,2020,3,0,nodata
TRX,2020,4,0,nodata
TRX,2020,5,0,nodata
TRX,2020,6,0,nodata
TRX,2020,7,0,nodata
TRX,2020,8,0,nodata
TRX,2020,9,0,nodata
TRX,2021,1,0,nodata
TRX,2021,10,0,nodata
TRX,2021,11,0,nodata
TRX,2021,12,0,nodata
TRX,2021,2,0,nodata
TRX,2021,3,0,nodata
TRX,2021,4,0,nodata
TRX,2021,5,0,nodata
TRX,2021,6,0,nodata
TRX,2021,7,0,nodata
TRX,2021,8,0,nodata
TRX,2021,9,0,nodata
TRX,2022,1,0,nodata
TRX,2022,10,0,nodata
TRX,2022,11,0,nodata
TRX,2022,12,0,nodata
TRX,2022,2,0,nodata
TRX,2022,3,0,nodata
TRX,2022,4,0,nodata
TRX,2022,5,0,nodata
TRX,2022,6,0,nodata
TRX,2022,7,0,nodata
TRX,2022,8,0,nodata
TRX,2022,9,0,nodata
TRX,2023,1,0,nodata
TRX,2023,10,0,nodata
TRX,2023,11,0,nodata
TRX,2023,12,0,nodata
TRX,2023,2,0,nodata
TRX,2023,3,0,nodata
TRX,2023,4,0,nodata
TRX,2023,5,0,nodata
TRX,2023,6,0,nodata
TRX,2023,7,0,nodata
TRX,2023,8,0,nodata
TRX,2023,9,0,nodata
TRX,2024,1,0,nodata
TRX,2024,10,0,nodata
TRX,2024,11,0,nodata
TRX,2024,12,0,nodata
TRX,2024,2,0,nodata
TRX,2024,3,0,nodata
TRX,2024,4,0,nodata
TRX,2024,5,0,nodata
TRX,2024,6,0,nodata
TRX,2024,7,0,nodata
TRX,2024,8,0,nodata
TRX,2024,9,0,nodata
TRX,2025,1,0,nodata
TRX,2025,10,0,nodata
TRX,2025,11,0,nodata
TRX,2025,12,0,nodata
TRX,2025,2,0,nodata
TRX,2025,3,0,nodata
TRX,2025,4,0,nodata
TRX,2025,5,0,nodata
TRX,2025,6,0,nodata
TRX,2025,7,0,nodata
TRX,2025,8,0,nodata
TRX,2025,9,0,nodata
TRX,2026,1,0,nodata
TRX,2026,2,0,nodata
TRX,2026,3,0,nodata
TRX,2026,4,0,nodata
TRX,2026,5,0,nodata
TRX,2026,6,0,nodata
TRX,2026,7,0,nodata
TRX,2026,8,0,nodata
UNI,2017,10,0,nodata
UNI,2017,11,0,nodata
UNI,2017,12,0,nodata
UNI,2017,8,0,nodata
UNI,2017,9,0,nodata
UNI,2018,1,0,nodata
UNI,2018,10,0,nodata
UNI,2018,11,0,nodata
UNI,2018,12,0,nodata
UNI,2018,2,0,nodata
UNI,2018,3,0,nodata
UNI,2018,4,0,nodata
UNI,2018,5,0,nodata
UNI,2018,6,0,nodata
UNI,2018,7,0,nodata
UNI,2018,8,0,nodata
UNI,2018,9,0,nodata
UNI,2019,1,0,nodata
UNI,2019,10,0,nodata
UNI,2019,11,0,nodata
UNI,2019,12,0,nodata
UNI,2019,2,0,nodata
UNI,2019,3,0,nodata
UNI,2019,4,0,nodata
UNI,2019,5,0,nodata
UNI,2019,6,0,nodata
UNI,2019,7,0,nodata
UNI,2019,8,0,nodata
UNI,2019,9,0,nodata
UNI,2020,1,0,nodata
UNI,2020,10,0,nodata
UNI,2020,11,0,nodata
UNI,2020,12,0,nodata
UNI,2020,2,0,nodata
UNI,2020,3,0,nodata
UNI,2020,4,0,nodata
UNI,2020,5,0,nodata
UNI,2020,6,0,nodata
UNI,2020,7,0,nodata
UNI,2020,8,0,nodata
UNI,2020,9,0,nodata
UNI,2021,1,0,nodata
UNI,2021,10,0,nodata
UNI,2021,11,0,nodata
UNI,2021,12,0,nodata
UNI,2021,2,0,nodata
UNI,2021,3,0,nodata
UNI,2021,4,0,nodata
UNI,2021,5,0,nodata
UNI,2021,6,0,nodata
UNI,2021,7,0,nodata
UNI,2021,8,0,nodata
UNI,2021,9,0,nodata
UNI,2022,1,0,nodata
UNI,2022,10,0,nodata
UNI,2022,11,0,nodata
UNI,2022,12,0,nodata
UNI,2022,2,0,nodata
UNI,2022,3,0,nodata
UNI,2022,4,0,nodata
UNI,2022,5,0,nodata
UNI,2022,6,0,nodata
UNI,2022,7,0,nodata
UNI,2022,8,0,nodata
UNI,2022,9,0,nodata
UNI,2023,1,0,nodata
UNI,2023,10,0,nodata
UNI,2023,11,0,nodata
UNI,2023,12,0,nodata
UNI,2023,2,0,nodata
UNI,2023,3,0,nodata
UNI,2023,4,0,nodata
UNI,2023,5,0,nodata
UNI,2023,6,0,nodata
UNI,2023,7,0,nodata
UNI,2023,8,0,nodata
UNI,2023,9,0,nodata
UNI,2024,1,0,nodata
UNI,2024,10,0,nodata
UNI,2024,11,0,nodata
UNI,2024,12,0,nodata
UNI,2024,2,0,nodata
UNI,2024,3,0,nodata
UNI,2024,4,0,nodata
UNI,2024,5,0,nodata
UNI,2024,6,0,nodata
UNI,2024,7,0,nodata
UNI,2024,8,0,nodata
UNI,2024,9,0,nodata
UNI,2025,1,0,nodata
UNI,2025,10,0,nodata
UNI,2025,11,0,nodata
UNI,2025,12,0,nodata
UNI,2025,2,0,nodata
UNI,2025,3,0,nodata
UNI,2025,4,0,nodata
UNI,2025,5,0,nodata
UNI,2025,6,0,nodata
UNI,2025,7,0,nodata
UNI,2025,8,0,nodata
UNI,2025,9,0,nodata
UNI,2026,1,0,nodata
UNI,2026,2,0,nodata
UNI,2026,3,0,nodata
UNI,2026,4,0,nodata
UNI,2026,5,0,nodata
UNI,2026,6,0,nodata
UNI,2026,7,0,nodata
UNI,2026,8,0,nodata
XLM,2017,10,0,nodata
XLM,2017,11,0,nodata
XLM,2017,12,0,nodata
XLM,2017,8,0,nodata
XLM,2017,9,0,nodata
XLM,2018,1,0,nodata
XLM,2018,10,0,nodata
XLM,2018,11,0,nodata
XLM,2018,12,0,nodata
XLM,2018,2,0,nodata
XLM,2018,3,0,nodata
XLM,2018,4,0,nodata
XLM,2018,5,0,nodata
XLM,2018,6,0,nodata
XLM,2018,7,0,nodata
XLM,2018,8,0,nodata
XLM,2018,9,0,nodata
XLM,2019,1,0,nodata
XLM,2019,10,0,nodata
XLM,2019,11,0,nodata
XLM,2019,12,0,nodata
XLM,2019,2,0,nodata
XLM,2019,3,0,nodata
XLM,2019,4,0,nodata
XLM,2019,5,0,nodata
XLM,2019,6,0,nodata
XLM,2019,7,0,nodata
XLM,2019,8,0,nodata
XLM,2019,9,0,nodata
XLM,2020,1,0,nodata
XLM,2020,10,0,nodata
XLM,2020,11,0,nodata
XLM,2020,12,0,nodata
XLM,2020,2,0,nodata
XLM,2020,3,0,nodata
XLM,2020,4,0,nodata
XLM,2020,5,0,nodata
XLM,2020,6,0,nodata
XLM,2020,7,0,nodata
XLM,2020,8,0,nodata
XLM,2020,9,0,nodata
XLM,2021,1,0,nodata
XLM,2021,10,0,nodata
XLM,2021,11,0,nodata
XLM,2021,12,0,nodata
XLM,2021,2,0,nodata
XLM,2021,3,0,nodata
XLM,2021,4,0,nodata
XLM,2021,5,0,nodata
XLM,2021,6,0,nodata
XLM,2021,7,0,nodata
XLM,2021,8,0,nodata
XLM,2021,9,0,nodata
XLM,2022,1,0,nodata
XLM,2022,10,0,nodata
XLM,2022,11,0,nodata
XLM,2022,12,0,nodata
XLM,2022,2,0,nodata
XLM,2022,3,0,nodata
XLM,2022,4,0,nodata
XLM,2022,5,0,nodata
XLM,2022,6,0,nodata
XLM,2022,7,0,nodata
XLM,2022,8,0,nodata
XLM,2022,9,0,nodata
XLM,2023,1,0,nodata
XLM,2023,10,0,nodata
XLM,2023,11,0,nodata
XLM,2023,12,0,nodata
XLM,2023,2,0,nodata
XLM,2023,3,0,nodata
XLM,2023,4,0,nodata
XLM,2023,5,0,nodata
XLM,2023,6,0,nodata
XLM,2023,7,0,nodata
XLM,2023,8,0,nodata
XLM,2023,9,0,nodata
XLM,2024,1,0,nodata
XLM,2024,10,0,nodata
XLM,2024,11,0,nodata
XLM,2024,12,0,nodata
XLM,2024,2,0,nodata
XLM,2024,3,0,nodata
XLM,2024,4,0,nodata
XLM,2024,5,0,nodata
XLM,2024,6,0,nodata
XLM,2024,7,0,nodata
XLM,2024,8,0,nodata
XLM,2024,9,0,nodata
XLM,2025,1,0,nodata
XLM,2025,10,0,nodata
XLM,2025,11,0,nodata
XLM,2025,12,0,nodata
XLM,2025,2,0,nodata
XLM,2025,3,0,nodata
XLM,2025,4,0,nodata
XLM,2025,5,0,nodata
XLM,2025,6,0,nodata
XLM,2025,7,0,nodata
XLM,2025,8,0,nodata
XLM,2025,9,0,nodata
XLM,2026,1,0,nodata
XLM,2026,2,0,nodata
XLM,2026,3,0,nodata
XLM,2026,4,0,nodata
XLM,2026,5,0,nodata
XLM,2026,6,0,nodata
XLM,2026,7,0,nodata
XLM,2026,8,0,nodata
XRP,2017,10,0,nodata
XRP,2017,11,0,nodata
XRP,2017,12,0,nodata
XRP,2017,8,0,nodata
XRP,2017,9,0,nodata
XRP,2018,1,0,nodata
XRP,2018,10,0,nodata
XRP,2018,11,0,nodata
XRP,2018,12,0,nodata
XRP,2018,2,0,nodata
XRP,2018,3,0,nodata
XRP,2018,4,0,nodata
XRP,2018,5,0,nodata
XRP,2018,6,0,nodata
XRP,2018,7,0,nodata
XRP,2018,8,0,nodata
XRP,2018,9,0,nodata
XRP,2019,1,0,nodata
XRP,2019,10,0,nodata
XRP,2019,11,0,nodata
XRP,2019,12,0,nodata
XRP,2019,2,0,nodata
XRP,2019,3,0,nodata
XRP,2019,4,0,nodata
XRP,2019,5,0,nodata
XRP,2019,6,0,nodata
XRP,2019,7,0,nodata
XRP,2019,8,0,nodata
XRP,2019,9,0,nodata
XRP,2020,1,0,nodata
XRP,2020,10,0,nodata
XRP,2020,11,0,nodata
XRP,2020,12,0,nodata
XRP,2020,2,0,nodata
XRP,2020,3,0,nodata
XRP,2020,4,0,nodata
XRP,2020,5,0,nodata
XRP,2020,6,0,nodata
XRP,2020,7,0,nodata
XRP,2020,8,0,nodata
XRP,2020,9,0,nodata
XRP,2021,1,0,nodata
XRP,2021,10,0,nodata
XRP,2021,11,0,nodata
XRP,2021,12,0,nodata
XRP,2021,2,0,nodata
XRP,2021,3,0,nodata
XRP,2021,4,0,nodata
XRP,2021,5,0,nodata
XRP,2021,6,0,nodata
XRP,2021,7,0,nodata
XRP,2021,8,0,nodata
XRP,2021,9,0,nodata
XRP,2022,1,0,nodata
XRP,2022,10,0,nodata
XRP,2022,11,0,nodata
XRP,2022,12,0,nodata
XRP,2022,2,0,nodata
XRP,2022,3,0,nodata
XRP,2022,4,0,nodata
XRP,2022,5,0,nodata
XRP,2022,6,0,nodata
XRP,2022,7,0,nodata
XRP,2022,8,0,nodata
XRP,2022,9,0,nodata
XRP,2023,1,0,nodata
XRP,2023,10,0,nodata
XRP,2023,11,0,nodata
XRP,2023,12,0,nodata
XRP,2023,2,0,nodata
XRP,2023,3,0,nodata
XRP,2023,4,0,nodata
XRP,2023,5,0,nodata
XRP,2023,6,0,nodata
XRP,2023,7,0,nodata
XRP,2023,8,0,nodata
XRP,2023,9,0,nodata
XRP,2024,1,0,nodata
XRP,2024,10,0,nodata
XRP,2024,11,0,nodata
XRP,2024,12,0,nodata
XRP,2024,2,0,nodata
XRP,2024,3,0,nodata
XRP,2024,4,0,nodata
XRP,2024,5,0,nodata
XRP,2024,6,0,nodata
XRP,2024,7,0,nodata
XRP,2024,8,0,nodata
XRP,2024,9,0,nodata
XRP,2025,1,0,nodata
XRP,2025,10,0,nodata
XRP,2025,11,0,nodata
XRP,2025,12,0,nodata
XRP,2025,2,0,nodata
XRP,2025,3,0,nodata
XRP,2025,4,0,nodata
XRP,2025,5,0,nodata
XRP,2025,6,0,nodata
XRP,2025,7,0,nodata
XRP,2025,8,0,nodata
XRP,2025,9,0,nodata
XRP,2026,1,0,nodata
XRP,2026,2,0,nodata
XRP,2026,3,0,nodata
XRP,2026,4,0,nodata
XRP,2026,5,0,nodata
XRP,2026,6,0,nodata
XRP,2026,7,0,nodata
XRP,2026,8,0,nodata
ZEC,2017,10,0,nodata
ZEC,2017,11,0,nodata
ZEC,2017,12,0,nodata
ZEC,2017,8,0,nodata
ZEC,2017,9,0,nodata
ZEC,2018,1,0,nodata
ZEC,2018,10,0,nodata
ZEC,2018,11,0,nodata
ZEC,2018,12,0,nodata
ZEC,2018,2,0,nodata
ZEC,2018,3,0,nodata
ZEC,2018,4,0,nodata
ZEC,2018,5,0,nodata
ZEC,2018,6,0,nodata
ZEC,2018,7,0,nodata
ZEC,2018,8,0,nodata
ZEC,2018,9,0,nodata
ZEC,2019,1,0,nodata
ZEC,2019,10,0,nodata
ZEC,2019,11,0,nodata
ZEC,2019,12,0,nodata
ZEC,2019,2,0,nodata
ZEC,2019,3,0,nodata
ZEC,2019,4,0,nodata
ZEC,2019,5,0,nodata
ZEC,2019,6,0,nodata
ZEC,2019,7,0,nodata
ZEC,2019,8,0,nodata
ZEC,2019,9,0,nodata
ZEC,2020,1,0,nodata
ZEC,2020,10,0,nodata
ZEC,2020,11,0,nodata
ZEC,2020,12,0,nodata
ZEC,2020,2,0,nodata
ZEC,2020,3,0,nodata
ZEC,2020,4,0,nodata
ZEC,2020,5,0,nodata
ZEC,2020,6,0,nodata
ZEC,2020,7,0,nodata
ZEC,2020,8,0,nodata
ZEC,2020,9,0,nodata
ZEC,2021,1,0,nodata
ZEC,2021,10,0,nodata
ZEC,2021,11,0,nodata
ZEC,2021,12,0,nodata
ZEC,2021,2,0,nodata
ZEC,2021,3,0,nodata
ZEC,2021,4,0,nodata
ZEC,2021,5,0,nodata
ZEC,2021,6,0,nodata
ZEC,2021,7,0,nodata
ZEC,2021,8,0,nodata
ZEC,2021,9,0,nodata
ZEC,2022,1,0,nodata
ZEC,2022,10,0,nodata
ZEC,2022,11,0,nodata
ZEC,2022,12,0,nodata
ZEC,2022,2,0,nodata
ZEC,2022,3,0,nodata
ZEC,2022,4,0,nodata
ZEC,2022,5,0,nodata
ZEC,2022,6,0,nodata
ZEC,2022,7,0,nodata
ZEC,2022,8,0,nodata
ZEC,2022,9,0,nodata
ZEC,2023,1,0,nodata
ZEC,2023,10,0,nodata
ZEC,2023,11,0,nodata
ZEC,2023,12,0,nodata
ZEC,2023,2,0,nodata
ZEC,2023,3,0,nodata
ZEC,2023,4,0,nodata
ZEC,2023,5,0,nodata
ZEC,2023,6,0,nodata
ZEC,2023,7,0,nodata
ZEC,2023,8,0,nodata
ZEC,2023,9,0,nodata
ZEC,2024,1,0,nodata
ZEC,2024,10,0,nodata
ZEC,2024,11,0,nodata
ZEC,2024,12,0,nodata
ZEC,2024,2,0,nodata
ZEC,2024,3,0,nodata
ZEC,2024,4,0,nodata
ZEC,2024,5,0,nodata
ZEC,2024,6,0,nodata
ZEC,2024,7,0,nodata
ZEC,2024,8,0,nodata
ZEC,2024,9,0,nodata
ZEC,2025,1,0,nodata
ZEC,2025,10,0,nodata
ZEC,2025,11,0,nodata
ZEC,2025,12,0,nodata
ZEC,2025,2,0,nodata
ZEC,2025,3,0,nodata
ZEC,2025,4,0,nodata
ZEC,2025,5,0,nodata
ZEC,2025,6,0,nodata
ZEC,2025,7,0,nodata
ZEC,2025,8,0,nodata
ZEC,2025,9,0,nodata
ZEC,2026,1,0,nodata
ZEC,2026,2,0,nodata
ZEC,2026,3,0,nodata
ZEC,2026,4,0,nodata
ZEC,2026,5,0,nodata
ZEC,2026,6,0,nodata
ZEC,2026,7,0,nodata
ZEC,2026,8,0,nodata
