date,name,note,asof
2024-02-13,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,2026-09-10
2024-02-14,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,2026-09-10
2024-02-15,農曆春節後開始交易日,農曆春節後開始交易。,2026-09-10
2024-02-28,和平紀念日,依規定放假1日。,2026-09-10
2024-04-04,兒童節,依規定放假1日。,2026-09-10
2024-04-05,民族掃墓節,依規定放假1日。,2026-09-10
2024-05-01,勞動節,依規定放假1日。,2026-09-10
2024-06-10,端午節,依規定放假1日。,2026-09-10
2024-09-17,中秋節,依規定放假1日。,2026-09-10
2024-10-10,國慶日,依規定放假1日。,2026-09-10
2025-01-01,中華民國開國紀念日,依規定放假1日。,2026-09-10
2025-01-02,國曆新年開始交易日,國曆新年開始交易。,2026-09-10
2025-01-22,農曆春節前最後交易日,農曆春節前最後交易。,2026-09-10
2025-01-23,市場無交易，僅辦理結算交割作業,,2026-09-10
2025-01-24,市場無交易，僅辦理結算交割作業,,2026-09-10
2025-01-27,農曆除夕前一日,1月27日（星期一）調整放假，於2月8日（星期六）補行上班，但不交易亦不交割。,2026-09-10
2025-01-28,農曆除夕,依規定放假1日。,2026-09-10
2025-01-29,農曆春節,依規定於1月29日至1月31日放假3日。,2026-09-10
2025-01-30,農曆春節,依規定於1月29日至1月31日放假3日。,2026-09-10
2025-01-31,農曆春節,依規定於1月29日至1月31日放假3日。,2026-09-10
2025-02-03,農曆春節後開始交易日,農曆春節後開始交易。,2026-09-10
2025-02-28,和平紀念日,依規定放假1日。,2026-09-10
2025-04-03,兒童節及民族掃墓節,兒童節與民族掃墓節為4月4日（星期五），依規定於前一日4月3日（星期四）放假。,2026-09-10
2025-04-04,兒童節及民族掃墓節,依規定放假1日。,2026-09-10
2025-05-01,勞動節,依規定放假1日。,2026-09-10
2025-05-30,端午節,端午節為5月31日適逢星期六，依規定於前一日5月30日（星期五）補假。,2026-09-10
2025-05-31,端午節,依規定放假1日。,2026-09-10
2025-09-28,孔子誕辰紀念日/ 教師節,依規定放假1日。,2026-09-10
2025-09-29,孔子誕辰紀念日/ 教師節,孔子誕辰紀念日/教師節為9月28日適逢星期日，依規定於後一日9月29日（星期一）補假。,2026-09-10
2025-10-06,中秋節,依規定放假1日。,2026-09-10
2025-10-10,國慶日,依規定放假1日。,2026-09-10
2025-10-24,臺灣光復暨金門古寧頭大捷紀念日,臺灣光復暨金門古寧頭大捷紀念日為10月25日適逢星期六，依規定於前一日10月24日（星期五）補假。,2026-09-10
2025-10-25,臺灣光復暨金門古寧頭大捷紀念日,依規定放假1日。,2026-09-10
2025-12-25,行憲紀念日,依規定放假1日。,2026-09-10
2026-01-01,中華民國開國紀念日,依規定放假1日。,2026-09-12
2026-01-02,國曆新年開始交易日,國曆新年開始交易。,2026-09-12
2026-02-11,農曆春節前最後交易日,農曆春節前最後交易。,2026-09-12
2026-02-12,市場無交易，僅辦理結算交割作業,,2026-09-12
2026-02-13,市場無交易，僅辦理結算交割作業,,2026-09-12
2026-02-15,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,2026-09-12
2026-02-16,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,2026-09-12
2026-02-17,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,2026-09-12
2026-02-18,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,2026-09-12
2026-02-19,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,2026-09-12
2026-02-20,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,2026-09-12
2026-02-23,農曆春節後開始交易日,農曆春節後開始交易。,2026-09-12
2026-02-27,和平紀念日,和平紀念日為2月28日適逢星期六，於2月27日（星期五）補假。,2026-09-12
2026-02-28,和平紀念日,依規定放假1日。,2026-09-12
2026-04-03,兒童節及民族掃墓節,兒童節為4月4日適逢星期六，於4月3日（星期五）補假。,2026-09-12
2026-04-04,兒童節及民族掃墓節,依規定放假1日。,2026-09-12
2026-04-05,兒童節及民族掃墓節,依規定放假1日。,2026-09-12
2026-04-06,兒童節及民族掃墓節,民族掃墓節為4月5日適逢星期日，於4月6日（星期一）補假。,2026-09-12
2026-05-01,勞動節,依規定放假1日。,2026-09-12
2026-06-19,端午節,依規定放假1日。,2026-09-12
2026-09-25,中秋節,依規定放假1日。,2026-09-12
2026-09-28,孔子誕辰紀念日/ 教師節,依規定放假1日。,2026-09-12
2026-10-09,國慶日,國慶日為10月10日適逢星期六，於10月9日（星期五）補假。,2026-09-12
2026-10-10,國慶日,依規定放假1日。,2026-09-12
2026-10-25,臺灣光復暨金門古寧頭大捷紀念日,依規定放假1日。,2026-09-12
2026-10-26,臺灣光復暨金門古寧頭大捷紀念日,臺灣光復暨金門古寧頭大捷紀念日為10月25日適逢星期日，於10月26日（星期一）補假。,2026-09-12
2026-12-25,行憲紀念日,依規定放假1日。,2026-09-12
