stock_id,name,period,market,產業別,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1264,德麥,2020-11,tpex,食品工業,399682,343932,350416,16.20,14.05,3875511,3656275,5.99
1780,立弘,2020-11,tpex,食品工業,47517,41009,60569,15.86,-21.54,558001,621618,-10.23
1796,金穎生技,2020-11,tpex,食品工業,39466,24173,40703,63.26,-3.03,328203,299188,9.69
4205,中華食,2020-11,tpex,食品工業,139086,143429,133611,-3.02,4.09,1507165,1444131,4.36
4207,環泰,2020-11,tpex,食品工業,319486,328822,355066,-2.83,-10.02,3571060,3773773,-5.37
4303,信立,2020-11,tpex,塑膠工業,24506,21733,29938,12.75,-18.14,307888,396748,-22.39
4304,勝昱,2020-11,tpex,塑膠工業,36334,35153,40831,3.35,-11.01,357863,384762,-6.99
4305,世坤,2020-11,tpex,塑膠工業,96766,82853,83467,16.79,15.93,908326,955222,-4.90
9950,萬國通,2020-11,tpex,塑膠工業,67032,83195,238908,-19.42,-71.94,983808,3010349,-67.31
4401,東隆興,2020-11,tpex,紡織纖維,280605,307686,268223,-8.80,4.61,2766061,3332198,-16.98
4402,郡都開發,2020-11,tpex,紡織纖維,9122,7545,14535,20.90,-37.24,110950,149204,-25.63
4406,新昕纖,2020-11,tpex,紡織纖維,26997,28017,54579,-3.64,-50.53,327336,578334,-43.40
4413,飛寶企業,2020-11,tpex,紡織纖維,21874,41993,56159,-47.91,-61.04,419100,506669,-17.28
4417,金洲,2020-11,tpex,紡織纖維,218562,203327,259027,7.49,-15.62,2359844,2662720,-11.37
4420,光明,2020-11,tpex,紡織纖維,58180,47770,56840,21.79,2.35,501839,769333,-34.76
4432,銘旺實,2020-11,tpex,紡織纖維,76692,104542,126454,-26.64,-39.35,1446868,1685021,-14.13
4433,興采,2020-11,tpex,紡織纖維,126233,147798,89802,-14.59,40.56,1921674,1484569,29.44
6506,雙邦,2020-11,tpex,紡織纖維,110424,83298,144755,32.56,-23.71,1465449,1913685,-23.42
1570,力肯,2020-11,tpex,電機機械,47361,45792,63719,3.42,-25.67,503662,561084,-10.23
1580,新麥,2020-11,tpex,電機機械,327093,278777,404875,17.33,-19.21,2888589,3753485,-23.04
1586,和勤,2020-11,tpex,電機機械,236919,209756,209430,12.94,13.12,2052813,1865557,10.03
1599,宏佳騰,2020-11,tpex,電機機械,337206,289654,143446,16.41,135.07,2889454,2228399,29.66
2066,世德,2020-11,tpex,電機機械,174112,181300,190261,-3.96,-8.48,1831707,2282840,-19.76
2067,嘉鋼,2020-11,tpex,電機機械,76011,59341,65546,28.09,15.96,649795,828643,-21.58
2070,精湛,2020-11,tpex,電機機械,54117,38336,36096,41.16,49.92,405602,534126,-24.06
2235,謚源,2020-11,tpex,電機機械,75567,72456,53059,4.29,42.42,644376,740234,-12.94
3162,精確,2020-11,tpex,電機機械,96185,112659,59721,-14.62,61.05,749219,738384,1.46
3226,龍鋒,2020-11,tpex,電機機械,249547,227918,168612,9.48,48.00,2205715,1765636,24.92
3379,彬台,2020-11,tpex,電機機械,44688,41690,29114,7.19,53.49,385650,415699,-7.22
3685,元創精密,2020-11,tpex,電機機械,112016,88807,156537,26.13,-28.44,803278,828222,-3.01
4502,健信,2020-11,tpex,電機機械,136504,144758,93152,-5.70,46.53,1292925,1442776,-10.38
4503,金雨,2020-11,tpex,電機機械,16924,4369,35016,287.36,-51.66,187560,369856,-49.28
4506,崇友,2020-11,tpex,電機機械,348796,336080,422926,3.78,-17.52,4038119,3886996,3.88
4510,高鋒,2020-11,tpex,電機機械,105980,116747,137120,-9.22,-22.71,1442661,1768876,-18.44
4513,福裕,2020-11,tpex,電機機械,109166,96085,105513,13.61,3.46,952819,1213468,-21.47
4523,永彰,2020-11,tpex,電機機械,53625,50131,99291,6.96,-45.99,618654,894072,-30.80
4527,方方土霖,2020-11,tpex,電機機械,231199,283571,219635,-18.46,5.26,2310307,2359287,-2.07
4528,江興鍛,2020-11,tpex,電機機械,212487,226391,192094,-6.14,10.61,2030749,2590373,-21.60
4533,協易機,2020-11,tpex,電機機械,245399,182393,318747,34.54,-23.01,2401618,2948118,-18.53
4534,慶騰,2020-11,tpex,電機機械,98233,97104,123004,1.16,-20.13,968990,1183671,-18.13
