month,mpos,n,hit,share
2017-03,522,18,1,0.05555555555555555
2017-04,545,10,0,0.0
2017-05,563,46,2,0.043478260869565216
2017-06,583,13,1,0.07692307692307693
2017-07,606,25,1,0.04
2017-08,627,54,5,0.09259259259259259
2017-09,650,40,1,0.025
2017-10,672,65,8,0.12307692307692308
2017-11,691,79,5,0.06329113924050633
2017-12,713,36,5,0.1388888888888889
2018-01,734,48,7,0.14583333333333334
2018-02,756,56,9,0.16071428571428573
2018-03,769,61,12,0.19672131147540983
2018-04,792,8,0,0.0
2018-05,810,52,5,0.09615384615384616
2018-06,832,31,7,0.22580645161290322
2018-07,852,61,12,0.19672131147540983
2018-08,874,50,5,0.1
2018-09,897,50,8,0.16
2018-10,916,40,6,0.15
2018-11,938,14,2,0.14285714285714285
2018-12,960,13,0,0.0
2019-01,981,18,1,0.05555555555555555
2019-02,1002,33,5,0.15151515151515152
2019-03,1015,38,4,0.10526315789473684
2019-04,1035,5,0,0.0
2019-05,1055,30,4,0.13333333333333333
2019-06,1077,24,3,0.125
2019-07,1096,22,6,0.2727272727272727
2019-08,1119,29,2,0.06896551724137931
2019-09,1140,47,1,0.02127659574468085
2019-10,1159,62,3,0.04838709677419355
2019-11,1180,54,3,0.05555555555555555
2019-12,1201,42,4,0.09523809523809523
2020-01,1223,22,6,0.2727272727272727
2020-02,1238,42,5,0.11904761904761904
2020-03,1257,13,1,0.07692307692307693
2020-04,1279,7,0,0.0
2020-05,1299,20,0,0.0
2020-06,1319,49,1,0.02040816326530612
2020-07,1339,52,1,0.019230769230769232
2020-08,1362,88,6,0.06818181818181818
2020-09,1383,91,10,0.10989010989010989
2020-10,1405,72,5,0.06944444444444445
2020-11,1424,103,7,0.06796116504854369
2020-12,1445,56,2,0.03571428571428571
2021-01,1468,99,7,0.0707070707070707
2021-02,1488,121,12,0.09917355371900827
2021-03,1501,127,12,0.09448818897637795
2021-04,1523,15,3,0.2
2021-05,1542,217,21,0.0967741935483871
2021-06,1563,95,8,0.08421052631578947
2021-07,1584,109,10,0.09174311926605505
2021-08,1606,130,11,0.08461538461538462
2021-09,1628,141,14,0.09929078014184398
2021-10,1648,91,8,0.08791208791208792
2021-11,1668,42,2,0.047619047619047616
2021-12,1690,65,6,0.09230769230769231
2022-01,1712,112,4,0.03571428571428571
2022-02,1730,101,8,0.07920792079207921
2022-03,1745,70,8,0.11428571428571428
2022-04,1768,6,0,0.0
2022-05,1787,59,4,0.06779661016949153
2022-06,1808,28,1,0.03571428571428571
2022-07,1829,37,2,0.05405405405405406
2022-08,1850,49,1,0.02040816326530612
2022-09,1873,59,12,0.2033898305084746
2022-10,1894,76,5,0.06578947368421052
2022-11,1914,38,2,0.05263157894736842
2022-12,1936,25,0,0.0
2023-01,1958,47,2,0.0425531914893617
2023-02,1971,45,2,0.044444444444444446
2023-03,1989,25,3,0.12
2023-04,2012,12,1,0.08333333333333333
2023-05,2029,82,5,0.06097560975609756
2023-06,2051,23,0,0.0
2023-07,2071,38,0,0.0
2023-08,2092,43,4,0.09302325581395349
2023-09,2114,27,1,0.037037037037037035
2023-10,2134,41,0,0.0
2023-11,2154,30,2,0.06666666666666667
2023-12,2176,35,3,0.08571428571428572
2024-01,2197,43,4,0.09302325581395349
2024-02,2219,56,1,0.017857142857142856
2024-03,2232,40,4,0.1
2024-04,2253,13,0,0.0
2024-05,2273,41,1,0.024390243902439025
2024-06,2295,33,1,0.030303030303030304
2024-07,2314,58,5,0.08620689655172414
2024-08,2335,80,3,0.0375
2024-09,2357,81,17,0.20987654320987653
2024-10,2377,58,5,0.08620689655172414
2024-11,2396,59,6,0.1016949152542373
2024-12,2417,42,8,0.19047619047619047
2025-01,2439,51,6,0.11764705882352941
2025-02,2454,54,5,0.09259259259259259
2025-03,2473,37,3,0.08108108108108109
2025-04,2494,24,0,0.0
2025-05,2514,21,0,0.0
2025-06,2534,30,1,0.03333333333333333
2025-07,2555,37,3,0.08108108108108109
2025-08,2578,59,10,0.1694915254237288
2025-09,2599,57,9,0.15789473684210525
2025-10,2620,69,12,0.17391304347826086
2025-11,2640,111,13,0.11711711711711711
2025-12,2660,60,10,0.16666666666666666
2026-01,2682,68,11,0.16176470588235295
2026-02,2703,136,11,0.08088235294117647
2026-03,2715,132,12,0.09090909090909091
