stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1101,台泥,2019Q3,twse,87561878,62031223,,,25530655,,,25530655,4636313,,20894342,2965016,23859358,4954162,18905196,,,18905196,1235805,,20141001,17719524,,1185672,18901686,,1239315,3.24
1102,亞泥,2019Q3,twse,66206883,47102035,,,19104848,,-9,19104839,2904619,,16200220,5323307,21523527,4586989,16936538,,,16936538,922280,,17858818,13458582,,3477956,14782959,,3075859,4.29
1103,嘉泥,2019Q3,twse,1362993,1202807,,,160186,,,160186,386237,,-226051,1349586,1123535,131005,992530,603989,,1596519,1977827,,3574346,1485119,,111400,3394470,,179876,2.31
1104,環泥,2019Q3,twse,3551356,3185655,,,365701,,,365701,304894,,60807,668545,729352,25989,703363,,,703363,-17334,,686029,699299,,4064,681965,,4064,1.07
1108,幸福,2019Q3,twse,2660105,2473905,,,186200,,,186200,170014,4120,20306,-14006,6300,7199,-899,0,,-899,40701,,39802,-899,,0,39802,,0,0.00
1109,信大,2019Q3,twse,5620429,3772459,,,1847970,,,1847970,352457,,1495513,-12998,1482515,479063,1003452,,,1003452,-122072,,881380,640589,,362863,559189,,322191,1.87
1110,東泥,2019Q3,twse,1138816,1087470,,,51346,,,51346,65941,,-14595,61499,46904,7857,39047,,,39047,45200,,84247,38890,,157,84078,,169,0.07
1201,味全,2019Q3,twse,15431845,10628859,,,4802986,,,4802986,4306656,,496330,1129178,1625508,333152,1292356,,,1292356,-63525,,1228831,1291702,,654,1228208,,623,2.55
1203,味王,2019Q3,twse,4703855,3236501,,,1467354,,,1467354,785486,,681868,36882,718750,189140,529610,,,529610,150732,,680342,346651,,182959,426583,,253759,1.46
1210,大成,2019Q3,twse,56773250,48106408,,,8666842,,,8666842,6051874,,2614968,182951,2797919,609861,2188058,,,2188058,147396,,2335454,1808402,,379656,2064754,,270700,2.32
1213,大飲,2019Q3,twse,354947,333656,,,21291,,,21291,48481,,-27190,-14670,-41860,-6166,-35694,0,,-35694,51,,-35643,-35694,,,-35643,,,-0.63
1215,卜蜂,2019Q3,twse,15575358,13244203,,,2331155,,,2331155,1134157,5657,1202655,6271,1208926,249815,959111,-1640,,957471,260399,,1217870,939821,,17650,1201431,,16439,3.51
1216,統一,2019Q3,twse,343353755,223075955,,,120277800,,,120277800,94722753,,25555047,5252306,30807353,6762870,24044483,,,24044483,-2325214,,21719269,16193209,,7851274,14789522,,6929747,2.85
1217,愛之味,2019Q3,twse,3614468,2448000,,,1166468,,,1166468,1012921,,153547,-31157,122390,12080,110310,,,110310,-3816,,106494,97221,,13089,87927,,18567,0.20
1218,泰山,2019Q3,twse,6080600,4922457,,,1158143,268,1500,1159375,973041,,186334,356762,543096,35162,507934,,,507934,7537,,515471,507658,,276,515195,,276,1.04
1219,福壽,2019Q3,twse,9044423,8300942,,7000,750481,,,750481,693341,,57140,-13120,44020,24612,19408,,,19408,-900,,18508,72561,,-53153,71796,,-53288,0.23
1220,台榮,2019Q3,twse,2075906,1780953,,,294953,,,294953,175707,,119246,-1038,118208,26047,92161,,,92161,0,,92161,81096,,11065,81096,,11065,0.46
1225,福懋油,2019Q3,twse,7838370,7116626,11174,,732918,,1484,734402,416540,327,318189,31320,349509,69544,279965,,,279965,-19023,,260942,242607,,37358,223584,,37358,1.11
1227,佳格,2019Q3,twse,21404896,14674715,,,6730181,,,6730181,3679335,,3050846,168628,3219474,753327,2466147,,,2466147,-78952,,2387195,2439979,,26168,2341300,,45895,2.69
1229,聯華,2019Q3,twse,5970777,4474654,,,1496123,,,1496123,647522,,848601,1949878,2798479,121419,2677060,,,2677060,655507,,3332567,2311739,,365321,3152119,,180448,2.10
