key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2008-05-19_0015,2008-05-19,0015,富邦,twse,8.45,8.60,8.45,8.60,555000,4736110,0.17,,,102,,
2008-05-19_0050,2008-05-19,0050,元大台灣50,twse,65.45,65.65,65.10,65.65,9368566,612321164,0.25,,,1696,,
2008-05-19_0051,2008-05-19,0051,元大中型100,twse,37.10,37.10,36.80,36.91,157200,5802080,0.0,,,74,,
2008-05-19_0052,2008-05-19,0052,富邦科技,twse,42.00,42.00,41.60,41.85,602000,25109140,-0.08,,,42,,
2008-05-19_0053,2008-05-19,0053,元大電子,twse,26.80,26.80,26.50,26.69,419000,11159910,-0.07,,,118,,
2008-05-19_0054,2008-05-19,0054,元大台商50,twse,22.50,22.55,22.31,22.50,224000,5017290,0.05,,,66,,
2008-05-19_0055,2008-05-19,0055,元大MSCI金融,twse,17.20,17.21,16.95,17.11,2470000,42168450,0.11,,,503,,
2008-05-19_0056,2008-05-19,0056,元大高股息,twse,27.15,27.50,27.15,27.50,2924000,80046110,0.42,,,396,,
2008-05-19_0057,2008-05-19,0057,富邦摩台,twse,34.30,34.40,34.05,34.32,1244000,42522600,0.2,,,42,,
2008-05-19_0058,2008-05-19,0058,富邦發達,twse,33.60,33.85,33.50,33.85,565000,19070340,0.45,,,38,,
2008-05-19_0059,2008-05-19,0059,富邦金融,twse,35.20,35.20,34.80,35.03,880000,30757510,0.08,,,54,,
2008-05-19_01001T,2008-05-19,01001T,土銀富邦R1,twse,11.98,12.10,11.98,12.01,715000,8580260,0.02,,,31,,
2008-05-19_01002T,2008-05-19,01002T,土銀國泰R1,twse,10.95,10.97,10.94,10.96,1174000,12853760,0.02,,,94,,
2008-05-19_01003T,2008-05-19,01003T,兆豐新光R1,twse,10.30,10.35,10.30,10.31,647000,6664770,0.01,,,27,,
2008-05-19_01004T,2008-05-19,01004T,土銀富邦R2,twse,11.19,11.19,11.18,11.19,964000,10783050,0.0,,,49,,
2008-05-19_01005T,2008-05-19,01005T,三鼎,twse,7.84,7.84,7.81,7.81,150000,1173310,-0.02,,,14,,
2008-05-19_01006T,2008-05-19,01006T,基泰SR,tpex,8.52,8.52,8.51,8.52,151000,1286020,0.00,,247000000,7,,
2008-05-19_01007T,2008-05-19,01007T,兆豐國泰R2,twse,10.99,11.01,10.98,11.01,1617000,17782480,0.02,,,62,,
2008-05-19_01008T,2008-05-19,01008T,駿馬R1,twse,9.13,9.13,9.11,9.11,387000,3528860,-0.02,,,12,,
2008-05-19_1101,2008-05-19,1101,台泥,twse,51.90,53.50,51.70,53.50,23275129,1231977672,2.3,,,8612,,
2008-05-19_1102,2008-05-19,1102,亞泥,twse,57.00,60.00,57.00,59.90,16959512,1002459317,3.6,,,5542,,
2008-05-19_1103,2008-05-19,1103,嘉泥,twse,31.00,32.20,31.00,31.80,4995567,159317592,0.8,,,1612,,
2008-05-19_1104,2008-05-19,1104,環泥,twse,22.10,22.85,21.80,22.15,8260391,184697751,0.65,,,2217,,
2008-05-19_1107,2008-05-19,1107,建台,tpex,2.25,2.25,2.08,2.10,411000,868690,,,314035300,45,,
2008-05-19_1108,2008-05-19,1108,幸福,twse,13.60,14.25,13.55,14.25,13024532,181338982,0.8,,,3198,,
2008-05-19_1109,2008-05-19,1109,信大,twse,14.95,15.65,14.80,15.65,11557234,175900658,1.0,,,2098,,
2008-05-19_1110,2008-05-19,1110,東泥,twse,17.90,18.40,17.75,18.10,8426582,153002326,0.5,,,2055,,
2008-05-19_1201,2008-05-19,1201,味全,twse,23.80,23.80,23.30,23.50,3462477,81222603,-0.1,,,1257,,
2008-05-19_1203,2008-05-19,1203,味王,twse,26.70,26.90,26.10,26.25,976883,25810711,-0.45,,,447,,
2008-05-19_1210,2008-05-19,1210,大成,twse,45.00,45.00,44.30,44.85,3151914,140736691,-0.05,,,1376,,
2008-05-19_1213,2008-05-19,1213,大飲,twse,13.65,13.65,13.30,13.65,124999,1690635,0.35,,,60,,
2008-05-19_1215,2008-05-19,1215,卜蜂,twse,19.80,20.30,19.55,20.00,4896474,97920523,0.3,,,1477,,
2008-05-19_1216,2008-05-19,1216,統一,twse,43.30,43.40,42.75,43.00,19531310,839106980,-0.2,,,6594,,
2008-05-19_1217,2008-05-19,1217,愛之味,twse,13.85,14.10,13.70,13.80,8306605,115391462,0.0,,,2185,,
2008-05-19_1218,2008-05-19,1218,泰山,twse,13.10,13.10,12.70,12.85,4300142,55509410,0.25,,,1117,,
2008-05-19_1219,2008-05-19,1219,福壽,twse,18.00,18.45,17.80,18.15,6540089,119236052,0.25,,,1959,,
2008-05-19_1220,2008-05-19,1220,台榮,twse,12.35,13.15,12.20,12.80,1838191,23386524,0.5,,,561,,
2008-05-19_1225,2008-05-19,1225,福懋油,twse,20.70,22.00,20.40,21.60,7017423,149651894,0.7,,,2220,,
2008-05-19_1227,2008-05-19,1227,佳格,twse,32.35,34.60,32.35,34.60,9461411,322482798,2.25,,,2280,,
2008-05-19_1229,2008-05-19,1229,聯華,twse,23.70,23.90,23.45,23.70,4090321,96854295,0.0,,,1133,,
2008-05-19_1231,2008-05-19,1231,聯華食,twse,14.00,14.05,13.80,13.95,739003,10312840,0.05,,,230,,
2008-05-19_1232,2008-05-19,1232,大統益,twse,43.00,43.60,42.55,43.00,894804,38546945,0.0,,,436,,
2008-05-19_1233,2008-05-19,1233,天仁,twse,31.30,31.50,30.90,31.15,78513,2443677,0.15,,,48,,
2008-05-19_1234,2008-05-19,1234,黑松,twse,18.50,18.70,18.40,18.50,3045000,56545200,0.05,,,954,,
2008-05-19_1235,2008-05-19,1235,興泰,twse,36.80,36.85,36.00,36.85,9792,356757,0.05,,,13,,
2008-05-19_1236,2008-05-19,1236,宏亞,twse,19.75,20.15,19.65,20.00,848059,16925717,0.3,,,234,,
2008-05-19_1301,2008-05-19,1301,台塑,twse,91.00,91.80,90.80,91.60,18005513,1646601784,0.6,,,5048,,
2008-05-19_1303,2008-05-19,1303,南亞,twse,75.00,75.00,74.50,75.00,9571181,715966580,1.0,,,3787,,
2008-05-19_1304,2008-05-19,1304,台聚,twse,23.75,24.50,23.45,24.30,25621377,613793145,0.7,,,5967,,
2008-05-19_1305,2008-05-19,1305,華夏,twse,15.60,15.80,15.45,15.75,8967723,140042956,0.3,,,2111,,
2008-05-19_1307,2008-05-19,1307,三芳,twse,29.30,29.90,28.80,29.90,122023,3581918,0.7,,,60,,
2008-05-19_1308,2008-05-19,1308,亞聚,twse,31.70,32.15,31.50,31.95,5394131,171619010,0.45,,,1714,,
2008-05-19_1309,2008-05-19,1309,台達化,twse,12.55,12.80,12.45,12.55,2337961,29378663,0.05,,,596,,
2008-05-19_1310,2008-05-19,1310,台苯,twse,14.80,15.10,14.80,14.90,3914963,58538376,0.2,,,1076,,
2008-05-19_1312,2008-05-19,1312,國喬,twse,12.95,13.10,12.80,12.95,9291489,120617138,0.1,,,1639,,
2008-05-19_1312A,2008-05-19,1312A,國喬特,twse,18.05,18.70,18.05,18.70,2000,36750,-0.1,,,2,,
2008-05-19_1313,2008-05-19,1313,聯成,twse,21.00,21.30,20.85,21.15,4292372,90480157,0.15,,,979,,
2008-05-19_1314,2008-05-19,1314,中石化,twse,20.90,21.30,20.80,21.25,56777335,1197628774,0.65,,,10796,,
2008-05-19_1315,2008-05-19,1315,達新,twse,29.20,29.45,28.85,29.25,887335,25868048,0.25,,,348,,
2008-05-19_1316,2008-05-19,1316,上曜,twse,7.72,8.19,7.70,8.17,537701,4258587,0.45,,,135,,
2008-05-19_1319,2008-05-19,1319,東陽,twse,28.40,28.40,28.10,28.15,1191784,33619877,-0.2,,,450,,
2008-05-19_1321,2008-05-19,1321,大洋,twse,29.90,30.30,29.70,29.90,1350920,40585031,0.0,,,447,,
2008-05-19_1323,2008-05-19,1323,永裕,twse,16.70,17.10,16.55,16.85,488440,8196653,0.3,,,167,,
2008-05-19_1324,2008-05-19,1324,地球,twse,23.30,23.50,22.60,23.30,85000,1970600,0.0,,,64,,
2008-05-19_1325,2008-05-19,1325,恆大,twse,16.10,16.85,16.00,16.85,4043640,67198884,1.1,,,1109,,
2008-05-19_1326,2008-05-19,1326,台化,twse,77.80,78.20,77.50,78.00,9785592,762467777,0.2,,,3529,,
2008-05-19_1333,2008-05-19,1333,恩得利,tpex,13.70,13.70,13.20,13.20,270000,3589150,,,83025000,122,,
2008-05-19_1336,2008-05-19,1336,台翰,tpex,39.20,39.45,38.70,38.85,247000,9663800,,,61393000,130,,
2008-05-19_1402,2008-05-19,1402,遠東新,twse,52.00,52.30,51.10,52.30,10272974,530918308,1.0,,,3104,,
2008-05-19_1409,2008-05-19,1409,新纖,twse,12.15,12.45,12.05,12.30,18273235,225153053,0.3,,,2311,,
2008-05-19_1410,2008-05-19,1410,南染,twse,24.30,24.30,23.60,24.25,106433,2553884,0.25,,,55,,
2008-05-19_1413,2008-05-19,1413,宏洲,twse,4.09,4.15,4.08,4.15,960377,3953506,0.07,,,181,,
2008-05-19_1414,2008-05-19,1414,東和,twse,7.50,7.62,7.50,7.60,592911,4499596,0.14,,,164,,
2008-05-19_1416,2008-05-19,1416,廣豐,twse,11.90,12.25,11.85,12.15,14388578,173513257,0.35,,,2729,,
2008-05-19_1417,2008-05-19,1417,嘉裕,twse,10.80,11.10,10.75,11.10,7103606,77780066,0.35,,,1245,,
2008-05-19_1418,2008-05-19,1418,東華,twse,3.74,3.83,3.68,3.78,940323,3516146,0.04,,,181,,
2008-05-19_1419,2008-05-19,1419,新紡,twse,33.40,33.50,32.95,33.40,1378065,45750858,0.1,,,457,,
2008-05-19_1423,2008-05-19,1423,利華,twse,10.35,10.40,10.30,10.40,778437,8045442,0.1,,,167,,
2008-05-19_1432,2008-05-19,1432,大魯閣,twse,5.98,5.98,5.31,5.42,5310,29085,-0.28,,,6,,
2008-05-19_1434,2008-05-19,1434,福懋,twse,34.50,34.55,34.30,34.50,2383117,82164657,0.2,,,1000,,
2008-05-19_1435,2008-05-19,1435,中福,twse,9.36,9.36,8.20,9.15,5457220,48660832,0.4,,,1385,,
2008-05-19_1436,2008-05-19,1436,華友聯,twse,11.60,11.60,11.30,11.60,496451,5710384,0.0,,,133,,
2008-05-19_1437,2008-05-19,1437,勤益控,twse,27.50,27.80,27.10,27.60,1720539,47278471,0.3,,,541,,
2008-05-19_1438,2008-05-19,1438,三地開發,twse,1.60,1.60,1.60,1.60,25001,40001,-0.11,down,,2,,
2008-05-19_1439,2008-05-19,1439,雋揚,twse,15.95,16.10,15.80,16.10,86140,1380619,0.15,,,37,,
2008-05-19_1440,2008-05-19,1440,南紡,twse,17.35,17.60,17.35,17.50,4781544,83371309,0.15,,,1243,,
2008-05-19_1441,2008-05-19,1441,大東,twse,7.15,7.15,7.03,7.06,307667,2183789,0.03,,,89,,
2008-05-19_1442,2008-05-19,1442,名軒,twse,25.00,25.30,25.00,25.00,320109,8022702,-0.15,,,85,,
2008-05-19_1443,2008-05-19,1443,立益物流,twse,3.52,3.62,3.52,3.60,309780,1107417,0.04,,,93,,
2008-05-19_1444,2008-05-19,1444,力麗,twse,10.65,10.75,10.50,10.55,3725241,39468439,-0.1,,,771,,
2008-05-19_1445,2008-05-19,1445,大宇,twse,7.71,7.72,7.48,7.63,173995,1324496,0.04,,,61,,
2008-05-19_1446,2008-05-19,1446,宏和,twse,10.45,11.15,10.40,11.15,828844,8947346,0.7,,,235,,
2008-05-19_1447,2008-05-19,1447,力鵬,twse,10.40,10.50,10.10,10.20,2766626,28307700,-0.2,,,629,,
2008-05-19_1449,2008-05-19,1449,佳和,twse,3.37,3.41,3.35,3.40,886010,3001682,0.03,,,197,,
2008-05-19_1451,2008-05-19,1451,年興,twse,20.30,20.40,20.20,20.25,721796,14662735,-0.05,,,246,,
2008-05-19_1452,2008-05-19,1452,宏益,twse,10.50,10.50,10.30,10.40,424013,4389484,0.05,,,107,,
2008-05-19_1453,2008-05-19,1453,大將,twse,9.42,9.42,9.42,9.42,94737,892411,0.61,up,,53,,
2008-05-19_1454,2008-05-19,1454,台富,twse,7.61,7.75,7.60,7.73,62280,474343,0.13,,,31,,
2008-05-19_1455,2008-05-19,1455,集盛,twse,8.60,8.67,8.59,8.66,1548350,13362471,0.07,,,310,,
2008-05-19_1456,2008-05-19,1456,怡華,twse,4.60,4.65,4.57,4.62,1316212,6067532,0.05,,,239,,
2008-05-19_1457,2008-05-19,1457,宜進,twse,7.30,7.30,7.21,7.22,1342460,9743194,0.0,,,278,,
2008-05-19_1459,2008-05-19,1459,聯發,twse,10.90,11.00,10.85,11.00,143430,1567555,0.05,,,66,,
2008-05-19_1460,2008-05-19,1460,宏遠,twse,8.55,8.75,8.48,8.63,1497408,12954008,0.08,,,305,,
2008-05-19_1463,2008-05-19,1463,強盛新,twse,8.10,8.10,7.82,8.07,116097,926106,-0.03,,,48,,
2008-05-19_1464,2008-05-19,1464,得力,twse,7.75,7.75,7.67,7.75,76010,587368,0.0,,,39,,
2008-05-19_1465,2008-05-19,1465,偉全,twse,13.00,13.00,12.50,12.70,369060,4698303,0.25,,,96,,
2008-05-19_1466,2008-05-19,1466,聚隆,twse,8.00,8.08,7.95,8.01,179336,1434825,0.04,,,68,,
2008-05-19_1467,2008-05-19,1467,南緯,twse,12.00,12.10,11.80,12.00,1039063,12426259,0.1,,,243,,
2008-05-19_1468,2008-05-19,1468,昶和,twse,13.55,13.80,13.50,13.80,132000,1800300,0.25,,,44,,
2008-05-19_1469,2008-05-19,1469,理隆,twse,14.15,14.15,13.65,14.10,15454,216219,-0.4,,,15,,
2008-05-19_1470,2008-05-19,1470,大統新創,twse,7.00,7.05,6.50,7.05,34000,232870,0.13,,,17,,
2008-05-19_1471,2008-05-19,1471,首利,twse,28.50,28.55,27.60,27.90,1499708,41944099,-0.45,,,639,,
2008-05-19_1472,2008-05-19,1472,三洋實業,twse,6.01,6.08,5.83,5.90,449001,2674865,-0.09,,,116,,
2008-05-19_1473,2008-05-19,1473,台南,twse,40.20,40.30,39.90,40.20,402099,16092335,0.2,,,228,,
2008-05-19_1474,2008-05-19,1474,弘裕,twse,8.71,8.80,8.71,8.80,281916,2465078,0.09,,,67,,
2008-05-19_1475,2008-05-19,1475,業旺,twse,15.50,15.50,15.50,15.50,2000,31000,0.85,up,,2,,
2008-05-19_1476,2008-05-19,1476,儒鴻,twse,17.80,17.80,17.35,17.70,514146,9008034,0.1,,,153,,
2008-05-19_1477,2008-05-19,1477,聚陽,twse,66.50,66.50,65.60,65.80,427999,28222434,-0.4,,,278,,
2008-05-19_1503,2008-05-19,1503,士電,twse,41.50,41.85,41.40,41.85,820843,34232404,0.5,,,315,,
2008-05-19_1504,2008-05-19,1504,東元,twse,20.35,20.50,19.95,20.30,11553572,233252582,0.0,,,2438,,
2008-05-19_1506,2008-05-19,1506,正道,twse,18.95,19.00,18.80,19.00,269016,5087650,0.0,,,32,,
2008-05-19_1507,2008-05-19,1507,永大,twse,26.00,26.10,25.70,25.85,2460117,63659617,-0.15,,,792,,
2008-05-19_1512,2008-05-19,1512,瑞利,twse,11.35,11.35,11.30,11.35,65205,738276,0.05,,,39,,
