讀法,鍵,選項,是否◇,型態,買法,事件數,區段數,買到比例,同日比例_全部,同日比例_買到中,狀態,該讀法下可判定格數
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,頭肩底,A,3023,38,1.0,1.0,1.0,基準（不判）,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,頭肩底,B,3023,38,0.6007277538868674,0.31524975190208404,0.5247797356828194,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,頭肩底,C,3023,38,0.614952034402911,0.0,0.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,頭肩底,D,3023,38,0.6321534899106848,0.6321534899106848,1.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,頭肩底,E,3023,38,0.15415150512735692,0.0,0.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,頭肩底,F,3023,38,0.057227919285478004,0.0,0.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,箱型,A,10653,38,1.0,1.0,1.0,基準（不判）,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,箱型,B,10653,38,0.8545010795081198,0.7320003754810851,0.8566406679116775,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,箱型,D,10653,38,0.2296066835633155,0.2296066835633155,1.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,箱型,E,10653,38,0.1614568666103445,0.0,0.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,箱型,F,10653,38,0.020463719140148315,0.0,0.0,可判定,14
Q6「前 5 日均量」（D、E②）,vm,bar,True,W 底,A,4897,38,1.0,1.0,1.0,基準（不判）,14
Q6「前 5 日均量」（D、E②）,vm,bar,True,W 底,B,4897,38,0.6716356953236675,0.36593832958954464,0.5448464578899361,可判定,14
Q6「前 5 日均量」（D、E②）,vm,bar,True,W 底,C,4897,38,0.5885235858688993,0.0,0.0,可判定,14
