arm,r,seed,cagr,mdd,vol,ca,ma,cb,mb,expo,x50_cagr,x50_mdd,x50_vol,trades,slot,maxw,first,end,eq_sha,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,drop_best_year,drop_best_geo,p2020-03,p2022,p2025-04,dd_單日暴跌型,dd_延續下跌型,dd_混合型,dd_n,ddlog_單日暴跌型,ddlog_延續下跌型,ddlog_混合型,x_new_n,x_tr_buys,x_tr_short,x_tr_blocked_days,x_tr_unbought,x_add_n,x_add_short,x_add_trig,x_add_blocked_days,x_trim_n,x_trim_blocked_days,x_mult_n,x_mult_short,x_rt_sell_events,x_rt_sell_n,x_rt_refill_events,x_rt_refill_n,x_rt_refill_short,x_rt_refill_fill_min,x_rt_blocked_days,x_cost_sell,x_buy_amt,x_mbar_nominal,x_mbar_actual,x_open_at_end,mbar,x_nx_n,x_nx_amt,x_nx_full_days,x_nx_empty_days,x_nx_blocked,x_nx_pending_end,x_nx_pending_amt_end,x_nx_over,nxw_n,nxw_med,nxw_p90,nxw_mean,nxw_max,nxw_le20
base,0,99000,0.21932836404489087,-0.4264865440218765,0.2558520741808669,0.18871946079875634,-0.4264865440218765,0.23775336208287356,-0.42202808026831223,0.8668099442818348,0.1881097718493081,-0.28393995165219676,0.17926754004199094,138,0.8871002592912706,0.4030189982741814,523,2837,55e9c251f3bda0493323fe253678521b60a7fcb4e5b53b4ae4a7b49c59d897e5,0.16827830621532525,-0.0005322209532980793,0.15315385294801898,0.4467367099237052,0.24478671834057586,-0.22013720282482174,0.26834606781448866,0.09950604484939052,0.5756286499837391,0.564786952808048,2025,0.18275710705777537,-0.2066954544042422,-0.22013720282482174,-0.04831779476986031,0,0,3,3,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,1,99001,0.21588460496745943,-0.39376591427886565,0.26672303331732433,0.19429556009478777,-0.32815798135479557,0.22905997541841816,-0.39376591427886565,0.8691285455755801,0.188785875720201,-0.27679183743353075,0.17714998026866874,138,0.8871002592912706,0.3837538843475213,523,2837,9c516cc8a33889f1175329ff2e0250f115935d3e03557b400f26f39c644da6bc,0.09721501954904199,-0.13260224025627354,0.3466579116386872,0.5476187051062777,0.5186504922172306,-0.20671881331027941,0.4270193822534467,-0.1365719298638729,0.6057337137452208,0.3390824754631847,2025,0.1763838787866232,-0.12155707355360956,-0.20671881331027941,0.03260502352340455,1,0,5,6,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,2,99002,0.273982326470507,-0.5043891729643656,0.26890748497097017,0.24255563918012935,-0.5043891729643656,0.2900506269442782,-0.360686849967842,0.8659583690363394,0.19098440016760132,-0.2761885957914048,0.17888243993952938,138,0.8871002592912706,0.3374145072718467,523,2837,5631fb0e10db39be1fd2260000f030b65787eaeffe6a2998a120944b4979314a,0.10013007295993614,0.11421891614466584,0.34266483727166497,0.40413061097541925,0.4167231052482472,-0.10705910071701186,0.6569756150788484,-0.0029852402315355686,0.7009761428045556,0.19733331875534366,2025,0.23096982750369577,-0.1987084462345764,-0.10705910071701186,-0.08069753772845945,2,0,2,4,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,3,99003,0.24094476868564274,-0.4227337223265596,0.2730364030202071,0.29155974342940816,-0.4227337223265596,0.20094696769857068,-0.377672712460507,0.8685884817607692,0.18867810991809253,-0.28137244994135596,0.17927992330362366,138,0.8871002592912706,0.39532406616328836,523,2837,e5781026519897876fb1fed82e93f261efd33a84b569d8ccc07cadf6cc28661e,0.24984079329515163,-0.19100369493136338,0.6189181006452482,0.6389223883280657,0.8877357273707751,-0.21262127427244626,0.18082338175576207,-0.06868345470067494,0.22025292873258961,0.434360086501975,2021,0.18077784618619086,-0.17034514709202742,-0.21262127427244626,0.004776953919007232,1,0,4,5,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,4,99004,0.3255617053576634,-0.41126863307499983,0.2583150517316654,0.27929989404441535,-0.350054216901392,0.35091049911024674,-0.41126863307499983,0.8695084681028856,0.18751471537598152,-0.2847072467040449,0.17953126496112204,138,0.8871002592912706,0.2989125875594258,523,2837,bf26302ee124e9c1fba342cd80d82ea60ba2c4575154e7a21c32dd702157a839,0.2063387242921928,-0.1320634725791746,0.5283933037554307,0.6159031506728014,1.0341520616458553,-0.18090385784784013,0.18867394683844796,0.18719398530047027,0.8068057232928287,0.302367540365879,2021,0.25998717482640044,-0.093411583951305,-0.18090385784784013,-0.048865380952189286,1,0,3,4,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,5,99005,0.2353881752051903,-0.48513900261147413,0.2649880497905879,0.2718473616542376,-0.48513900261147413,0.20973022616117354,-0.4012578929794463,0.8709938265860353,0.1973222247737758,-0.2805924347883619,0.17910057597203266,138,0.8871002592912706,0.30893483776920444,523,2837,34833db969ad9f1aeb8889f9fd491debd65466f6cd9262fe30945668a4226c87,0.2961655958128697,-0.10263358444104398,0.318248502459874,0.6488953781308593,0.15125974892383165,-0.015332256458952087,0.47084180059798,-0.14939716881597587,0.517978741572807,0.35162811746114886,2020,0.19394826577828694,-0.14897837532869962,-0.015332256458952087,-0.009304770514226623,0,0,3,3,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,6,99006,0.1902905285413905,-0.39985724722516275,0.25344807523837215,0.20660234303402691,-0.39985724722516275,0.17731332257420918,-0.32867001979986904,0.8647266759101164,0.1950251601418025,-0.28097259231934046,0.17739479672165698,138,0.8871002592912706,0.26592701387068995,523,2837,5385aba5265490fc86ad42e0664f58eb935d6dbdcf88888a0bf55c8c1e8e6baf,0.21711038590224363,-0.17072536222050105,0.4193245817779818,0.4404379590909746,0.4990043375594275,0.017595113374570426,0.49383615382219626,-0.025897114195404858,0.12010557746325956,0.009430856644233598,2021,0.1582118982976326,-0.14476578962219477,0.017595113374570426,0.03723769643037511,1,0,5,6,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,7,99007,0.25604393723727936,-0.4336251678462655,0.27301251986060493,0.4395975634643381,-0.4336251678462655,0.14291807351893815,-0.39083526353662323,0.8732141026554491,0.19625491159139496,-0.27887531417131595,0.17978890591968208,138,0.8871002592912706,0.3246945268108559,523,2837,15596634d277ab24fb961482adb7f4919baa911071c7df49e36adfa76744b646,0.23060616962540603,0.19828897281978386,0.5296620825040537,0.8075169873882566,1.1059588268927545,-0.20771257899655116,0.19062238383177443,-0.011224581763585872,-0.17566413101495637,0.3032248481820534,2021,0.1814473939684771,-0.17368571126745924,-0.20771257899655116,-0.08602620383843729,0,0,4,4,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,8,99008,0.44155737961726826,-0.5572547295746607,0.2880246690973419,0.42435465236717596,-0.40298011045799864,0.4523445688829342,-0.5572547295746607,0.8697171698749679,0.19303247813014868,-0.2825672335176567,0.17829260804171937,138,0.8871002592912706,0.3362865154511801,523,2837,5b8d17c68cecb1513b9c83ca159ee5c0305703c880b18fe7d6b1988e43c30165,0.2306061696254058,0.3031542805098415,0.6337215553242879,0.49359944407411227,1.4401306821442224,-0.28255103474571786,0.4523775137309598,-0.18978039507427957,0.6272403447023294,1.4078971939094895,2021,0.354414136616398,-0.13698279708439365,-0.28255103474571786,-0.022381502281758725,1,0,5,6,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,9,99009,0.3469501780675517,-0.4135844742086075,0.277762800343188,0.4232321221024893,-0.3820097917042217,0.2898972638472497,-0.4135844742086075,0.8733485753855769,0.19796113096581514,-0.28217651879384925,0.18010469695098372,138,0.8871002592912706,0.44255528103984676,523,2837,3f1579344928da76841b77aad6edba00917ca2f7b2ec1a38a4f25a48a0bc8387,0.1811482590360991,0.0903173135666766,0.6456801175396818,0.8407875563207523,1.647589034160191,-0.2750967211902021,0.6600862179114813,0.03906389469050353,0.08094644166181686,0.19198263480339328,2021,0.2433120053697262,-0.1778101616136175,-0.2750967211902021,-0.0730199272676606,0,0,5,5,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
